Standard,Class Name,Exam,Subject,Paper Name,Contribution (%),Grade Category,Date,Starting Time,Ending Time,Hall Room,Distributor,Distributor Name,Marks Full,Marks Pass
1,1,3,9,3,40,PT3,7/26/2022,8:00 AM,9:00 AM,2,1,38,100,40
1,1,3,9,2,60,PT3,7/26/2022,10:00 AM,11:30 AM,2,1,46,100,40
1,1,3,11,4,,PT3,7/26/2022,11:40 AM,1:40 PM,2,1,27,100,40
1,1,3,12,5,,PT3,7/26/2022,11:40 AM,1:40 PM,2,1,9,100,40
1,1,3,20,7,40,PT3,7/27/2022,7:50 AM,8:50 AM,2,1,67,100,40
1,1,3,20,6,60,PT3,7/27/2022,9:45 AM,11:00 AM,2,1,67,100,40
1,1,3,18,8,,PT3,7/27/2022,11:10 AM,1:10 PM,2,1,24,100,40
1,1,3,14,9,,PT3,7/28/2022,8:00 AM,10:00 AM,2,1,66,100,40
1,1,3,19,10,,PT3,7/28/2022,11:30 AM,1:30 PM,2,1,35,100,40
1,1,3,17,11,,PT3,7/29/2022,8:00 AM,10:00 AM,2,1,23,100,40
1,1,3,8,13,,PT3,7/29/2022,11:00 AM,12:00 PM,2,1,40,100,40
1,1,3,15,14,,PT3,8/1/2022,8:00 AM,10:00 AM,2,1,18,100,40
1,1,3,16,16,,PT3,8/1/2022,11:30 AM,1:30 PM,2,1,49,100,40
1,2,3,9,3,40,PT3,7/26/2022,8:00 AM,9:00 AM,8,1,38,100,40
1,2,3,9,2,60,PT3,7/26/2022,10:00 AM,11:30 AM,8,1,46,100,40
1,2,3,11,4,,PT3,7/26/2022,11:40 AM,1:40 PM,8,1,27,100,40
1,2,3,12,5,,PT3,7/26/2022,11:40 AM,1:40 PM,8,1,9,100,40
1,2,3,20,7,40,PT3,7/27/2022,7:50 AM,8:50 AM,8,1,67,100,40
1,2,3,20,6,60,PT3,7/27/2022,9:45 AM,11:00 AM,8,1,67,100,40
1,2,3,18,8,,PT3,7/27/2022,11:10 AM,1:10 PM,8,1,24,100,40
1,2,3,14,9,,PT3,7/28/2022,8:00 AM,10:00 AM,8,1,66,100,40
1,2,3,19,10,,PT3,7/28/2022,11:30 AM,1:30 PM,8,1,35,100,40
1,2,3,17,11,,PT3,7/29/2022,8:00 AM,10:00 AM,8,1,23,100,40
1,2,3,8,13,,PT3,7/29/2022,11:00 AM,12:00 PM,8,1,40,100,40
1,2,3,15,14,,PT3,8/1/2022,8:00 AM,10:00 AM,8,1,18,100,40
1,2,3,16,16,,PT3,8/1/2022,11:30 AM,1:30 PM,8,1,49,100,40
1,3,3,9,3,40,PT3,7/26/2022,8:00 AM,9:00 AM,13,1,38,100,40
1,3,3,9,2,60,PT3,7/26/2022,10:00 AM,11:30 AM,13,1,46,100,40
1,3,3,11,4,,PT3,7/26/2022,11:40 AM,1:40 PM,13,1,27,100,40
1,3,3,12,5,,PT3,7/26/2022,11:40 AM,1:40 PM,13,1,9,100,40
1,3,3,20,7,40,PT3,7/27/2022,7:50 AM,8:50 AM,13,1,67,100,40
1,3,3,20,6,60,PT3,7/27/2022,9:45 AM,11:00 AM,13,1,67,100,40
1,3,3,18,8,,PT3,7/27/2022,11:10 AM,1:10 PM,13,1,24,100,40
1,3,3,14,9,,PT3,7/28/2022,8:00 AM,10:00 AM,13,1,66,100,40
1,3,3,19,10,,PT3,7/28/2022,11:30 AM,1:30 PM,13,1,35,100,40
1,3,3,17,11,,PT3,7/29/2022,8:00 AM,10:00 AM,13,1,23,100,40
1,3,3,8,13,,PT3,7/29/2022,11:00 AM,12:00 PM,13,1,40,100,40
1,3,3,15,14,,PT3,8/1/2022,8:00 AM,10:00 AM,13,1,18,100,40
1,3,3,16,16,,PT3,8/1/2022,11:30 AM,1:30 PM,13,1,49,100,40
