Standard,Class Name,Day,Semester,Session  ,Subject,Teacher,Time Start,Time End,Location
3,1,MONDAY,2,1,7,36,7:00 AM,7:30 AM,5
3,1,MONDAY,2,1,32,,7:30 AM,8:00 AM,1
3,1,MONDAY,2,1,20,20,8:00 AM,8:30 AM,5
3,1,MONDAY,2,1,9,44,8:30 AM,9:00 AM,5
3,1,MONDAY,2,1,9,44,9:00 AM,9:30 AM,5
3,1,MONDAY,2,1,18,21,9:30 AM,10:00 AM,5
3,1,MONDAY,2,1,18,21,10:00 AM,10:30 AM,5
3,1,MONDAY,2,1,Rehat,,10:30 AM,11:00 AM,5
3,1,MONDAY,2,1,8,40,11:00 AM,11:30 AM,5
3,1,MONDAY,2,1,8,40,11:30 AM,12:00 PM,5
3,1,MONDAY,2,1,8,30,11:00 AM,11:30 AM,5
3,1,MONDAY,2,1,8,30,11:30 AM,12:00 PM,5
3,1,MONDAY,2,1,8,19,11:00 AM,11:30 AM,5
3,1,MONDAY,2,1,8,19,11:30 AM,12:00 PM,5
3,1,MONDAY,2,1,17,34,12:00 PM,12:30 PM,5
3,1,MONDAY,2,1,17,34,12:30 PM,1:00 PM,5
3,1,MONDAY,2,1,17,34,1:00 PM,1:30 PM,5
3,1,TUESDAY,2,1,7,36,7:00 AM,7:30 AM,5
3,1,TUESDAY,2,1,14,39,7:30 AM,8:00 AM,5
3,1,TUESDAY,2,1,14,39,8:00 AM,8:30 AM,5
3,1,TUESDAY,2,1,8,40,8:30 AM,9:00 AM,5
3,1,TUESDAY,2,1,8,40,9:00 AM,9:30 AM,5
3,1,TUESDAY,2,1,8,30,8:30 AM,9:00 AM,5
3,1,TUESDAY,2,1,8,30,9:00 AM,9:30 AM,5
3,1,TUESDAY,2,1,8,19,8:30 AM,9:00 AM,5
3,1,TUESDAY,2,1,8,19,9:00 AM,9:30 AM,5
3,1,TUESDAY,2,1,20,20,9:30 AM,10:00 AM,5
3,1,TUESDAY,2,1,20,20,10:00 AM,10:30 AM,5
3,1,TUESDAY,2,1,Rehat,,10:30 AM,11:00 AM,5
3,1,TUESDAY,2,1,9,44,11:00 AM,11:30 AM,5
3,1,TUESDAY,2,1,9,44,11:30 AM,12:00 PM,5
3,1,TUESDAY,2,1,15,37,12:00 PM,12:30 PM,5
3,1,TUESDAY,2,1,15,37,12:30 PM,1:00 PM,5
3,1,TUESDAY,2,1,18,21,1:00 PM,1:30 PM,5
3,1,WEDNESDAY,2,1,7,36,7:00 AM,7:30 AM,5
3,1,WEDNESDAY,2,1,11,31,7:30 AM,8:00 AM,5
3,1,WEDNESDAY,2,1,11,31,8:00 AM,8:30 AM,5
3,1,WEDNESDAY,2,1,11,44,7:30 AM,8:00 AM,5
3,1,WEDNESDAY,2,1,11,44,8:00 AM,8:30 AM,5
3,1,WEDNESDAY,2,1,11,27,7:30 AM,8:00 AM,5
3,1,WEDNESDAY,2,1,11,27,8:00 AM,8:30 AM,5
3,1,WEDNESDAY,2,1,12,68,7:30 AM,8:00 AM,5
3,1,WEDNESDAY,2,1,12,68,8:00 AM,8:30 AM,5
3,1,WEDNESDAY,2,1,20,20,8:30 AM,9:00 AM,5
3,1,WEDNESDAY,2,1,20,20,9:00 AM,9:30 AM,5
3,1,WEDNESDAY,2,1,14,39,9:30 AM,10:00 AM,5
3,1,WEDNESDAY,2,1,14,39,10:00 AM,10:30 AM,5
3,1,WEDNESDAY,2,1,Rehat,,10:30 AM,11:00 AM,5
3,1,WEDNESDAY,2,1,19,36,11:00 AM,11:30 AM,5
3,1,WEDNESDAY,2,1,19,36,11:30 AM,12:00 PM,5
3,1,WEDNESDAY,2,1,19,35,11:00 AM,11:30 AM,5
3,1,WEDNESDAY,2,1,19,35,11:30 AM,12:00 PM,5
3,1,WEDNESDAY,2,1,19,66,11:00 AM,11:30 AM,5
3,1,WEDNESDAY,2,1,19,66,11:30 AM,12:00 PM,5
3,1,WEDNESDAY,2,1,15,37,12:00 PM,12:30 PM,5
3,1,WEDNESDAY,2,1,15,37,12:30 PM,1:00 PM,5
3,1,WEDNESDAY,2,1,9,44,1:00 PM,1:30 PM,5
3,1,THURSDAY,2,1,7,36,7:00 AM,7:30 AM,5
3,1,THURSDAY,2,1,11,31,7:30 AM,8:00 AM,5
3,1,THURSDAY,2,1,11,31,8:00 AM,8:30 AM,5
3,1,THURSDAY,2,1,11,44,7:30 AM,8:00 AM,5
3,1,THURSDAY,2,1,11,44,8:00 AM,8:30 AM,5
3,1,THURSDAY,2,1,11,27,7:30 AM,8:00 AM,5
3,1,THURSDAY,2,1,11,27,8:00 AM,8:30 AM,5
3,1,THURSDAY,2,1,12,68,7:30 AM,8:00 AM,5
3,1,THURSDAY,2,1,12,68,8:00 AM,8:30 AM,5
3,1,THURSDAY,2,1,17,34,8:30 AM,9:00 AM,5
3,1,THURSDAY,2,1,17,34,9:00 AM,9:30 AM,5
3,1,THURSDAY,2,1,14,39,9:30 AM,10:00 AM,5
3,1,THURSDAY,2,1,14,39,10:00 AM,10:30 AM,5
3,1,THURSDAY,2,1,Rehat,,10:30 AM,11:00 AM,5
3,1,THURSDAY,2,1,20,20,11:00 AM,11:30 AM,5
3,1,THURSDAY,2,1,20,20,11:30 AM,12:00 PM,5
3,1,THURSDAY,2,1,16,46,12:00 PM,12:30 PM,5
3,1,THURSDAY,2,1,16,46,12:30 PM,1:00 PM,5
3,1,THURSDAY,2,1,16,46,1:00 PM,1:30 PM,5
3,1,FRIDAY,2,1,7,36,7:00 AM,7:30 AM,5
3,1,FRIDAY,2,1,17,34,7:30 AM,8:00 AM,5
3,1,FRIDAY,2,1,17,34,8:00 AM,8:30 AM,5
3,1,FRIDAY,2,1,11,31,8:30 AM,9:00 AM,5
3,1,FRIDAY,2,1,11,31,9:00 AM,9:30 AM,5
3,1,FRIDAY,2,1,11,44,8:30 AM,9:00 AM,5
3,1,FRIDAY,2,1,11,44,9:00 AM,9:30 AM,5
3,1,FRIDAY,2,1,11,27,8:30 AM,9:00 AM,5
3,1,FRIDAY,2,1,11,27,9:00 AM,9:30 AM,5
3,1,FRIDAY,2,1,12,68,8:30 AM,9:00 AM,5
3,1,FRIDAY,2,1,12,68,9:00 AM,9:30 AM,5
3,1,FRIDAY,2,1,9,44,9:30 AM,10:00 AM,5
3,1,FRIDAY,2,1,9,44,10:00 AM,10:30 AM,5
3,1,FRIDAY,2,1,Rehat,,10:30 AM,11:00 AM,5
3,1,FRIDAY,2,1,19,36,11:00 AM,11:30 AM,5
3,1,FRIDAY,2,1,19,36,11:30 AM,12:00 PM,5
3,1,FRIDAY,2,1,19,35,11:00 AM,11:30 AM,5
3,1,FRIDAY,2,1,19,35,11:30 AM,12:00 PM,5
3,1,FRIDAY,2,1,19,66,11:00 AM,11:30 AM,5
3,1,FRIDAY,2,1,19,66,11:30 AM,12:00 PM,5
3,2,MONDAY,2,1,7,35,7:00 AM,7:30 AM,10
3,2,MONDAY,2,1,32,,7:30 AM,8:00 AM,1
3,2,MONDAY,2,1,20,26,8:00 AM,8:30 AM,10
3,2,MONDAY,2,1,11,25,8:30 AM,9:00 AM,10
3,2,MONDAY,2,1,11,25,9:00 AM,9:30 AM,10
3,2,MONDAY,2,1,12,31,8:30 AM,9:00 AM,10
3,2,MONDAY,2,1,12,31,9:00 AM,9:30 AM,10
3,2,MONDAY,2,1,17,50,9:30 AM,10:00 AM,10
3,2,MONDAY,2,1,17,50,10:00 AM,10:30 AM,10
3,2,MONDAY,2,1,Rehat,,10:30 AM,11:00 AM,10
3,2,MONDAY,2,1,8,40,11:00 AM,11:30 AM,10
3,2,MONDAY,2,1,8,40,11:30 AM,12:00 PM,10
3,2,MONDAY,2,1,8,30,11:00 AM,11:30 AM,10
3,2,MONDAY,2,1,8,30,11:30 AM,12:00 PM,10
3,2,MONDAY,2,1,8,19,11:00 AM,11:30 AM,10
3,2,MONDAY,2,1,8,19,11:30 AM,12:00 PM,10
3,2,MONDAY,2,1,16,47,12:00 PM,12:30 PM,10
3,2,MONDAY,2,1,16,47,12:30 PM,1:00 PM,10
3,2,MONDAY,2,1,16,47,1:00 PM,1:30 PM,10
3,2,TUESDAY,2,1,7,35,7:00 AM,7:30 AM,10
3,2,TUESDAY,2,1,15,18,7:30 AM,8:00 AM,10
3,2,TUESDAY,2,1,15,18,8:00 AM,8:30 AM,10
3,2,TUESDAY,2,1,8,40,8:30 AM,9:00 AM,10
3,2,TUESDAY,2,1,8,40,9:00 AM,9:30 AM,10
3,2,TUESDAY,2,1,8,30,8:30 AM,9:00 AM,10
3,2,TUESDAY,2,1,8,30,9:00 AM,9:30 AM,10
3,2,TUESDAY,2,1,8,19,8:30 AM,9:00 AM,10
3,2,TUESDAY,2,1,8,19,9:00 AM,9:30 AM,10
3,2,TUESDAY,2,1,18,24,9:30 AM,10:00 AM,10
3,2,TUESDAY,2,1,18,24,10:00 AM,10:30 AM,10
3,2,TUESDAY,2,1,Rehat,,10:30 AM,11:00 AM,10
3,2,TUESDAY,2,1,14,28,11:00 AM,11:30 AM,10
3,2,TUESDAY,2,1,14,28,11:30 AM,12:00 PM,10
3,2,TUESDAY,2,1,20,26,12:00 PM,12:30 PM,10
3,2,TUESDAY,2,1,20,26,12:30 PM,1:00 PM,10
3,2,TUESDAY,2,1,9,11,1:00 PM,1:30 PM,10
3,2,WEDNESDAY,2,1,7,35,7:00 AM,7:30 AM,10
3,2,WEDNESDAY,2,1,17,50,7:30 AM,8:00 AM,10
3,2,WEDNESDAY,2,1,17,50,8:00 AM,8:30 AM,10
3,2,WEDNESDAY,2,1,9,11,8:30 AM,9:00 AM,10
3,2,WEDNESDAY,2,1,9,11,9:00 AM,9:30 AM,10
3,2,WEDNESDAY,2,1,11,25,9:30 AM,10:00 AM,10
3,2,WEDNESDAY,2,1,11,25,10:00 AM,10:30 AM,10
3,2,WEDNESDAY,2,1,12,31,9:30 AM,10:00 AM,10
3,2,WEDNESDAY,2,1,12,31,10:00 AM,10:30 AM,10
3,2,WEDNESDAY,2,1,Rehat,,10:30 AM,11:00 AM,10
3,2,WEDNESDAY,2,1,19,36,11:00 AM,11:30 AM,10
3,2,WEDNESDAY,2,1,19,36,11:30 AM,12:00 PM,10
3,2,WEDNESDAY,2,1,19,35,11:00 AM,11:30 AM,10
3,2,WEDNESDAY,2,1,19,35,11:30 AM,12:00 PM,10
3,2,WEDNESDAY,2,1,19,66,11:00 AM,11:30 AM,10
3,2,WEDNESDAY,2,1,19,66,11:30 AM,12:00 PM,10
3,2,WEDNESDAY,2,1,20,26,12:00 PM,12:30 PM,10
3,2,WEDNESDAY,2,1,14,28,12:30 PM,1:00 PM,10
3,2,WEDNESDAY,2,1,14,28,1:00 PM,1:30 PM,10
3,2,THURSDAY,2,1,7,35,7:00 AM,7:30 AM,10
3,2,THURSDAY,2,1,18,24,7:30 AM,8:00 AM,10
3,2,THURSDAY,2,1,18,24,8:00 AM,8:30 AM,10
