Standard,Class Name,Day,Semester,Session  ,Subject,Teacher,Time Start,Time End,Location
4,1,MONDAY,2,1,7,43,7:00 AM,7:30 AM,6
4,1,MONDAY,2,1,32,,7:30 AM,8:00 AM,1
4,1,MONDAY,2,1,25,32,8:00 AM,8:30 AM,6
4,1,MONDAY,2,1,25,32,8:30 AM,9:00 AM,6
4,1,MONDAY,2,1,25,32,9:00 AM,9:30 AM,6
4,1,MONDAY,2,1,20,26,9:30 AM,10:00 AM,6
4,1,MONDAY,2,1,20,26,10:00 AM,10:30 AM,6
4,1,MONDAY,2,1,Rehat,,10:30 AM,11:00 AM,6
4,1,MONDAY,2,1,14,12,11:00 AM,11:30 AM,6
4,1,MONDAY,2,1,14,12,11:30 AM,12:00 PM,6
4,1,MONDAY,2,1,9,11,12:00 PM,12:30 PM,6
4,1,MONDAY,2,1,9,11,12:30 PM,1:00 PM,6
4,1,MONDAY,2,1,8,19,1:00 PM,1:30 PM,6
4,1,MONDAY,2,1,8,19,1:30 PM,2:00 PM,6
4,1,MONDAY,2,1,8,29,1:00 PM,1:30 PM,6
4,1,MONDAY,2,1,8,29,1:30 PM,2:00 PM,6
4,1,MONDAY,2,1,8,21,1:00 PM,1:30 PM,6
4,1,MONDAY,2,1,8,21,1:30 PM,2:00 PM,6
4,1,TUESDAY,2,1,7,43,7:00 AM,7:30 AM,6
4,1,TUESDAY,2,1,25,32,7:30 AM,8:00 AM,6
4,1,TUESDAY,2,1,25,32,8:00 AM,8:30 AM,6
4,1,TUESDAY,2,1,25,32,8:30 AM,9:00 AM,6
4,1,TUESDAY,2,1,23,51,9:00 AM,9:30 AM,6
4,1,TUESDAY,2,1,23,51,9:30 AM,10:00 AM,6
4,1,TUESDAY,2,1,23,51,10:00 AM,10:30 AM,6
4,1,TUESDAY,2,1,Rehat,,10:30 AM,11:00 AM,6
4,1,TUESDAY,2,1,24,43,11:00 AM,11:30 AM,6
4,1,TUESDAY,2,1,24,43,11:30 AM,12:00 PM,6
4,1,TUESDAY,2,1,26,17,12:00 PM,12:30 PM,6
4,1,TUESDAY,2,1,26,17,12:30 PM,1:00 PM,6
4,1,TUESDAY,2,1,11,31,1:00 PM,1:30 PM,6
4,1,TUESDAY,2,1,11,31,1:30 PM,2:00 PM,6
4,1,TUESDAY,2,1,11,27,1:00 PM,1:30 PM,6
4,1,TUESDAY,2,1,11,27,1:30 PM,2:00 PM,6
4,1,TUESDAY,2,1,11,25,1:00 PM,1:30 PM,6
4,1,TUESDAY,2,1,11,25,1:30 PM,2:00 PM,6
4,1,TUESDAY,2,1,11,44,1:00 PM,1:30 PM,6
4,1,TUESDAY,2,1,11,44,1:30 PM,2:00 PM,6
4,1,TUESDAY,2,1,11,68,1:00 PM,1:30 PM,6
4,1,TUESDAY,2,1,11,68,1:30 PM,2:00 PM,6
4,1,WEDNESDAY,2,1,7,43,7:00 AM,7:30 AM,6
4,1,WEDNESDAY,2,1,26,17,7:30 AM,8:00 AM,6
4,1,WEDNESDAY,2,1,26,17,8:00 AM,8:30 AM,6
4,1,WEDNESDAY,2,1,15,18,8:30 AM,9:00 AM,6
4,1,WEDNESDAY,2,1,15,18,9:00 AM,9:30 AM,6
4,1,WEDNESDAY,2,1,20,26,9:30 AM,10:00 AM,6
4,1,WEDNESDAY,2,1,20,26,10:00 AM,10:30 AM,6
4,1,WEDNESDAY,2,1,Rehat,,10:30 AM,11:00 AM,6
4,1,WEDNESDAY,2,1,14,12,11:00 AM,11:30 AM,6
4,1,WEDNESDAY,2,1,14,12,11:30 AM,12:00 PM,6
4,1,WEDNESDAY,2,1,9,11,12:00 PM,12:30 PM,6
4,1,WEDNESDAY,2,1,9,11,12:30 PM,1:00 PM,6
4,1,WEDNESDAY,2,1,9,11,1:00 PM,1:30 PM,6
4,1,WEDNESDAY,2,1,11,31,1:30 PM,2:00 PM,6
4,1,WEDNESDAY,2,1,11,27,1:30 PM,2:00 PM,6
4,1,WEDNESDAY,2,1,11,25,1:30 PM,2:00 PM,6
4,1,WEDNESDAY,2,1,11,44,1:30 PM,2:00 PM,6
4,1,WEDNESDAY,2,1,11,68,1:30 PM,2:00 PM,6
4,1,THURSDAY,2,1,7,43,7:00 AM,7:30 AM,6
4,1,THURSDAY,2,1,24,43,7:30 AM,8:00 AM,6
4,1,THURSDAY,2,1,24,43,8:00 AM,8:30 AM,6
4,1,THURSDAY,2,1,23,51,8:30 AM,9:00 AM,6
4,1,THURSDAY,2,1,23,51,9:00 AM,9:30 AM,6
4,1,THURSDAY,2,1,11,31,9:30 AM,10:00 AM,6
4,1,THURSDAY,2,1,11,31,10:00 AM,10:30 AM,6
4,1,THURSDAY,2,1,11,27,9:30 AM,10:00 AM,6
4,1,THURSDAY,2,1,11,27,10:00 AM,10:30 AM,6
4,1,THURSDAY,2,1,11,25,9:30 AM,10:00 AM,6
4,1,THURSDAY,2,1,11,25,10:00 AM,10:30 AM,6
4,1,THURSDAY,2,1,11,44,9:30 AM,10:00 AM,6
4,1,THURSDAY,2,1,11,44,10:00 AM,10:30 AM,6
4,1,THURSDAY,2,1,11,68,9:30 AM,10:00 AM,6
4,1,THURSDAY,2,1,11,68,10:00 AM,10:30 AM,6
4,1,THURSDAY,2,1,Rehat,,10:30 AM,11:00 AM,6
4,1,THURSDAY,2,1,14,12,11:00 AM,11:30 AM,6
4,1,THURSDAY,2,1,14,12,11:30 AM,12:00 PM,6
4,1,THURSDAY,2,1,15,18,12:00 PM,12:30 PM,6
4,1,THURSDAY,2,1,15,18,12:30 PM,1:00 PM,6
4,1,THURSDAY,2,1,9,11,1:00 PM,1:30 PM,6
4,1,THURSDAY,2,1,9,11,1:30 PM,2:00 PM,6
4,1,FRIDAY,2,1,7,43,7:00 AM,7:30 AM,6
4,1,FRIDAY,2,1,8,19,7:30 AM,8:00 AM,6
4,1,FRIDAY,2,1,8,19,8:00 AM,8:30 AM,6
4,1,FRIDAY,2,1,8,29,7:30 AM,8:00 AM,6
4,1,FRIDAY,2,1,8,29,8:00 AM,8:30 AM,6
4,1,FRIDAY,2,1,8,21,7:30 AM,8:00 AM,6
4,1,FRIDAY,2,1,8,21,8:00 AM,8:30 AM,6
4,1,FRIDAY,2,1,20,26,8:30 AM,9:00 AM,6
4,1,FRIDAY,2,1,20,26,9:00 AM,9:30 AM,6
4,1,FRIDAY,2,1,24,43,9:30 AM,10:00 AM,6
4,1,FRIDAY,2,1,24,43,10:00 AM,10:30 AM,6
4,1,FRIDAY,2,1,Rehat,,10:30 AM,11:00 AM,6
4,1,FRIDAY,2,1,26,17,11:00 AM,11:30 AM,6
4,1,FRIDAY,2,1,26,17,11:30 AM,12:00 PM,6
4,2,MONDAY,2,1,7,17,7:00 AM,7:30 AM,11
4,2,MONDAY,2,1,32,,7:30 AM,8:00 AM,1
4,2,MONDAY,2,1,14,43,8:00 AM,8:30 AM,11
